candidate_start_fy,horizon_months,dimension,segment,eligible_loans,chargeoffs,valid_gross_amount_loans,gross_approval,sba_guaranteed_approval,chargeoff_loan_approval,gross_chargeoff_amount,flagged_financial_chargeoffs,sensitivity_gross_approval,sensitivity_chargeoff_loan_approval,sensitivity_gross_chargeoff_amount,chargeoff_rate_percent,ci95_low_percent,ci95_high_percent,passes_rate_reporting_rule,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,chargeoff_severity_percent,sensitivity_gross_chargeoff_rate_percent,sensitivity_chargeoff_severity_percent
2001,96,project_state,WI,24101,2426,24101,6293943785.0,4622619497.9955,438265013.0,266445005.4,82,6284334183.0,428655411.0,254429426.12,10.065972,9.692456,10.452217,True,6.963281,4.233355,60.795409,4.04863,59.355235
2001,96,project_state,DC,1897,350,1897,404406545.0,295069873.85,27608370.0,20647682.0,4,403656545.0,26858370.0,19554848.81,18.450185,16.769018,20.258871,True,6.826885,5.105675,74.787762,4.844428,72.807281
2001,96,project_state,VT,4131,271,4131,621202377.0,438949245.75,26834000.0,16646979.59,6,620889377.0,26521000.0,16231370.57,6.560155,5.844791,7.356234,True,4.319687,2.6798,62.036892,2.614213,61.201955
2001,96,project_state,NV,8123,1822,8123,2094141953.0,1539929443.51,225698388.0,172203531.85,45,2088015853.0,219572288.0,164546442.69,22.430137,21.536195,23.350142,True,10.777607,8.223107,76.298078,7.880517,74.939531
2001,96,project_state,KS,8515,1028,8515,1986810846.0,1460101917.626,173599565.0,111072499.57,14,1984527146.0,171315865.0,108369908.32,12.072813,11.397835,12.781995,True,8.737599,5.590492,63.982015,5.460742,63.257369
2001,96,project_state,NE,6528,665,6528,1460948394.0,1092712281.81,121899222.0,75396579.0,22,1458777094.0,119727922.0,72886652.44,10.186887,9.476393,10.944211,True,8.343842,5.160797,61.851567,4.996422,60.876904
2001,96,project_state,HI,4893,568,4893,471289823.0,319583102.75,35268700.0,23951515.52,3,470859823.0,34838700.0,23407995.88,11.60842,10.740847,12.536228,True,7.483442,5.08212,67.911535,4.97133,67.189636
2001,96,project_state,VA,14893,2416,14893,3971178907.0,2903237302.4,330471347.0,239472081.91,48,3958907507.0,318199947.0,223972580.12,16.222386,15.639032,16.823162,True,8.321744,6.030252,72.463796,5.657434,70.387372
2001,96,project_state,MP,20,0,20,5887500.0,4431740.0,0.0,0.0,0,5887500.0,0.0,0.0,0.0,0.0,16.112516,False,0.0,0.0,,0.0,
2001,96,project_state,KY,8660,1261,8660,1838918645.0,1330677798.638,176958549.0,116389374.89,47,1835157145.0,173197049.0,111465733.25,14.561201,13.834038,15.31979,True,9.622968,6.329229,65.772112,6.073907,64.357755
