candidate_start_fy,horizon_months,dimension,segment,eligible_loans,chargeoffs,valid_gross_amount_loans,gross_approval,sba_guaranteed_approval,chargeoff_loan_approval,gross_chargeoff_amount,flagged_financial_chargeoffs,sensitivity_gross_approval,sensitivity_chargeoff_loan_approval,sensitivity_gross_chargeoff_amount,chargeoff_rate_percent,ci95_low_percent,ci95_high_percent,passes_rate_reporting_rule,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,chargeoff_severity_percent,sensitivity_gross_chargeoff_rate_percent,sensitivity_chargeoff_severity_percent,total_gross_approval,total_chargeoff_loan_approval,total_gross_chargeoff_amount,total_sensitivity_gross_chargeoff_amount,gross_approval_share_percent,chargeoff_loan_approval_share_percent,gross_chargeoff_amount_share_percent,sensitivity_gross_chargeoff_amount_share_percent,financial_anomaly_share_shift_pp
2001,120,naics2,22,720,92,720,158166071.0,114892362.525,10517000.0,7644720.38,3,157893571.0,10244500.0,7295580.96,12.777778,10.535286,15.41535,True,6.64934,4.83335,72.689174,4.620569,71.214612,206223316725.65,21365606564.17,14162165844.38,13604006615.14,0.07669650237000933,0.049223971097721836,0.05397988177799563,0.05362817856822191,0.0003517032097737141
2001,120,naics2,61,10674,1737,10674,1981151581.0,1443315584.017,188964409.0,132684937.68,56,1977379881.0,185192709.0,127740517.33,16.273187,15.585092,16.98555,True,9.53811,6.697364,70.216893,6.46009,68.977077,206223316725.65,21365606564.17,14162165844.38,13604006615.14,0.9606826291304551,0.8844326906070257,0.9368972171205976,0.9389918789648091,-0.002094661844211476
2001,120,naics2,11,9684,833,9684,4364916233.0,3331469689.363,292880106.0,164252217.6,33,4360483368.0,288447241.0,158541241.53,8.601817,8.059652,9.176814,True,6.709868,3.76301,56.081726,3.635864,54.963688,206223316725.65,21365606564.17,14162165844.38,13604006615.14,2.116596853500753,1.3708017374576122,1.1597958914256081,1.1654010911282437,-0.0056051997026356215
2001,120,naics2,31,15526,2478,15526,4236028239.0,3117801537.902,380991685.0,250836024.29,77,4225388939.0,370352385.0,236618204.6,15.960325,15.392676,16.544813,True,8.994078,5.921491,65.837664,5.599915,63.890018,206223316725.65,21365606564.17,14162165844.38,13604006615.14,2.0540976191530356,1.783200883418498,1.771169940009845,1.739327326823451,0.03184261318639403
2001,120,naics2,71,19770,3498,19770,5356014702.0,3953756322.763,614465077.0,397724418.49,90,5335163497.0,593613872.0,373488482.13,17.693475,17.167819,18.231684,True,11.472431,7.425753,64.726936,7.000507,62.917748,206223316725.65,21365606564.17,14162165844.38,13604006615.14,2.597191620734815,2.8759542826668656,2.8083587133519536,2.745430024374892,0.0629286889770615
2001,120,naics2,49,3063,555,3063,621852273.0,452237168.37,54553500.0,38844475.61,11,621123273.0,53824500.0,37916923.52,18.119491,16.79562,19.523227,True,8.772743,6.246576,71.204369,6.104573,70.445473,206223316725.65,21365606564.17,14162165844.38,13604006615.14,0.30154314404092514,0.255333261127657,0.27428343967186863,0.2787187965477904,-0.004435356875921781
2001,120,naics2,21,1981,181,1981,744322137.0,553064295.2772,64240391.0,37228931.64,3,742867137.0,62785391.0,35530845.1,9.1368,7.945839,10.485933,True,8.630724,5.001723,57.95253,4.782934,56.590943,206223316725.65,21365606564.17,14162165844.38,13604006615.14,0.36093015514351945,0.30067197393651707,0.26287597567411364,0.26117926949886555,0.001696706175248086
2001,120,project_state,NY,58051,10919,58051,9099532951.0,6290557171.81758,1004741715.0,717858554.54,267,9082212051.0,987420815.0,692018835.64,18.809323,18.493496,19.129277,True,11.041684,7.88896,71.447074,7.619497,70.083477,206223316725.65,21365606564.17,14162165844.38,13604006615.14,4.412465620027632,4.7026126404711865,5.068847254213375,5.086875177419034,-0.01802792320565949
2001,120,project_state,GA,22847,5176,22847,9058515298.0,6844388069.2867,953731208.0,603390500.4,88,9040615098.0,935831008.0,583012284.57,22.655053,22.116886,23.202414,True,10.52856,6.661031,63.266306,6.448812,62.298885,206223316725.65,21365606564.17,14162165844.38,13604006615.14,4.3925756998909256,4.463862072605052,4.260580669865864,4.285592480682577,-0.025011810816712554
2001,120,project_state,OH,38383,5321,38383,6689719510.0,4686861816.774,673237144.0,446668068.81,180,6678108041.0,661625675.0,430783158.4,13.862908,13.520822,14.212227,True,10.063757,6.676933,66.34632,6.450677,65.109801,206223316725.65,21365606564.17,14162165844.38,13604006615.14,3.243920045617196,3.1510322067289906,3.153953100946436,3.1665903331785965,-0.0126372322321604
