comparison_type,factor,comparison_value,reference_category,scenario_value,eligible_loans,chargeoffs,pooled_risk_percent,pooled_ci95_low_percent,pooled_ci95_high_percent,vintage_standardized_risk_percent,mix_adjusted_risk_percent,adjusted_risk_difference_vs_reference_pp,adjusted_risk_difference_ci95_low_pp,adjusted_risk_difference_ci95_high_pp,vintages_passing_500_25,fdr_q_value
Observed versus adjusted,ProjectState,SD,CA,,869,48,5.52359033,4.19125693,7.24741361,5.40053029,4.47170484,-2.97077231,-4.12400838,-1.81753623,0,1.19e-06
Observed versus adjusted,ProjectState,TN,CA,,2843,218,7.66795638,6.74598765,8.70416879,7.48940598,7.74185376,0.29937662,-0.65328313,1.25203636,2,0.59641586
Observed versus adjusted,ProjectState,TX,CA,,23730,1971,8.30594185,7.96152681,8.66385373,8.30324189,7.73847404,0.2959969,-0.09465268,0.68664649,7,0.16699393
Observed versus adjusted,ProjectState,UT,CA,,6920,372,5.37572254,4.86865995,5.93230167,5.38112997,4.8751665,-2.56731064,-3.07284814,-2.06177314,7,0
Observed versus adjusted,ProjectState,VA,CA,,4444,343,7.71827183,6.96962308,8.53995533,7.71902933,6.30911418,-1.13336296,-1.80687771,-0.45984822,6,0.00155112
Observed versus adjusted,ProjectState,VT,CA,,1430,72,5.03496503,4.01721885,6.29364627,4.98489465,4.01890805,-3.42356909,-4.33169216,-2.51544602,0,0
Observed versus adjusted,ProjectState,WA,CA,,8189,401,4.8968128,4.45019397,5.38572759,4.8722435,5.68825896,-1.75421818,-2.30192957,-1.2065068,7,0
Observed versus adjusted,ProjectState,WI,CA,,9256,500,5.40190147,4.95960441,5.8812017,5.40335531,6.11055738,-1.33191976,-1.87742507,-0.78641444,7,3.95e-06
Observed versus adjusted,ProjectState,WV,CA,,806,47,5.83126551,4.41331313,7.66824404,5.97220597,7.00238052,-0.44009663,-2.31349176,1.43329851,0,0.67154013
Observed versus adjusted,ProjectState,WY,CA,,658,43,6.53495441,4.88755258,8.68691569,6.63031972,3.92430226,-3.51817488,-4.61043424,-2.42591551,0,0
Observed versus adjusted,Business age,Existing,Existing,,188670,10631,5.6347061,5.5315574,5.73966138,5.63728696,6.03766118,0,0,0,7,
Observed versus adjusted,Business age,New or early-stage,Existing,,52905,4222,7.98034212,7.75246692,8.21431902,7.99295373,7.35241029,1.31474911,1.09034109,1.53915713,7,
Observed versus adjusted,Business age,Startup,Existing,,44437,3625,8.1576164,7.90672373,8.41574277,8.17908452,7.50453272,1.46687154,1.2143171,1.71942598,7,
Observed versus adjusted,Business age,Unknown,Existing,,21945,1721,7.84233311,7.49397853,8.20544445,7.72495244,6.66928956,0.63162838,0.33416151,0.92909525,7,
Observed versus adjusted,Business type,CORPORATION,CORPORATION,,264222,17210,6.51346216,6.42000282,6.60818597,6.52229755,6.53430442,0,0,0,7,
Observed versus adjusted,Business type,INDIVIDUAL,CORPORATION,,37469,2754,7.35007606,7.09019661,7.61869987,7.26313984,6.96940656,0.43510214,0.17945633,0.69074795,7,
Observed versus adjusted,Business type,PARTNERSHIP,CORPORATION,,6250,230,3.68,3.24097271,4.17593195,3.60205893,4.61316117,-1.92114325,-2.46760529,-1.3746812,4,
Observed versus adjusted,Business type,Unknown,CORPORATION,,16,5,31.25,14.16464385,55.59564417,30.71472813,17.75257304,11.21826862,-4.04542852,26.48196575,0,
